0.0,0.156,0.156,2.104,4.477,16.851,26.405,61.767,70.27,85.708,40.18,14.425,4.496,1.869,4.755,12.066,28.649,48.415,39.57,32.408,10.871,5.877,2.591,0.156
0.571,0.905,0.728,2.562,4.686,15.438,32.002,64.065,81.477,80.394,39.003,14.432,8.809,2.573,7.866,20.149,44.645,78.785,91.062,73.01,18.182,11.048,3.044,0.988
0.571,0.571,0.571,1.837,5.912,19.534,29.829,63.472,75.309,82.77,34.248,14.767,5.059,5.151,7.368,21.65,50.765,95.962,135.708,126.513,65.869,8.934,3.445,1.226
0.571,0.571,0.571,1.563,5.378,16.998,29.248,65.114,75.621,78.114,34.42,14.357,4.551,4.244,9.858,25.973,49.827,95.63,128.444,116.793,66.636,10.899,3.409,0.728
0.571,0.571,0.81,1.513,5.845,15.384,29.845,63.699,78.065,81.823,40.009,13.272,7.55,3.697,10.096,23.494,51.698,98.54,129.627,123.76,73.577,11.36,5.491,1.244
0.0,0.156,0.5,1.148,3.417,16.5,31.723,65.222,66.433,63.699,40.263,17.147,3.984,1.901,4.44,12.54,29.932,43.234,41.843,27.567,14.823,5.47,2.248,0.476
0.0,0.0,0.0,1.744,6.725,16.119,30.687,67.704,67.734,61.569,40.865,16.784,6.654,2.675,6.484,18.077,42.979,62.111,63.085,40.104,17.889,12.055,2.474,0.639
0.5,0.5,0.738,1.754,5.841,17.241,33.321,63.22,68.766,64.567,44.598,18.163,7.614,3.933,7.728,22.061,44.578,69.336,74.171,43.334,19.309,6.971,4.019,1.516
0.5,0.5,0.5,1.73,5.399,16.548,31.089,57.294,71.013,67.433,38.803,17.537,6.032,2.27,9.354,21.452,48.478,70.109,67.058,41.544,19.39,10.539,3.34,0.917
0.778,0.778,0.917,2.679,7.591,16.076,30.495,67.568,71.767,71.378,43.528,17.024,6.081,3.188,8.297,21.422,52.349,73.627,73.822,45.008,23.352,10.202,3.44,1.821
1.016,1.016,1.294,3.09,7.256,16.2,33.692,63.798,70.969,67.947,43.167,16.307,6.653,3.194,9.123,22.455,51.329,73.299,84.194,42.604,22.6,11.089,4.713,1.671
1.016,1.016,1.254,2.376,6.347,15.161,31.096,60.155,71.568,63.479,40.371,19.154,6.854,2.984,9.471,22.582,49.373,77.995,80.019,47.855,23.58,9.767,3.36,2.349
1.254,1.254,1.401,2.98,7.573,16.388,31.061,64.549,70.28,62.581,42.527,18.64,5.827,4.903,10.486,24.218,47.773,76.513,78.384,41.595,22.914,11.964,4.438,2.381
2.27,2.548,2.603,3.836,8.484,17.077,33.731,65.646,69.266,64.106,42.63,20.407,8.971,5.734,9.887,22.757,53.675,76.91,82.948,46.283,21.483,12.878,4.324,3.742
